parameter_setting,H=0Accepted,H=1Accepted,H>1Accepted,mean_score_H0,mean_score_H1,mean_gamma_1,mean_gamma_2,find_true_net0,find_true_net0_noF,find_true_net1,find_true_net1_noF,mean_p_H0,mean_p_H1,find_alter_net0,find_alter1_net1_major,find_alter2_net1_major,find_alter3_net1_major,find_alter1_net1_minor,find_alter2_net1_minor,find_alter3_net1_minor
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary.csv,95,3,2,10.94084858861358,8.000204760871789,0.9348372145461287,0.06516278545387155,100,100,95,100,0.4419644156845889,0.5617203418694612,0,2,1,1,2,0,1
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary.csv,98,2,0,6.757249719730923,5.044271572773028,0.8960517422279269,0.10394825777207287,100,100,92,100,0.5579644682365397,0.6478083079623681,0,4,1,2,2,1,2
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000-summary.csv,98,2,0,10.46691611484496,7.592486373781941,0.9289581168018707,0.0710418831981294,100,100,92,100,0.5230303438455085,0.6141531344398374,0,1,3,3,2,2,2
SNaQ-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000-summary.csv,100,0,0,5.5034244739852465,3.986832119481901,0.8740787724204729,0.125921227579527,100,100,88,100,0.625725624380523,0.6846601442450059,0,4,2,2,2,4,2
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000-summary.csv,99,1,0,5.23174649379677,3.5994669355810895,0.8104095094097151,0.1895904905902848,100,100,85,100,0.6696989879619548,0.7352022603471107,0,7,7,0,0,1,9
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary.csv,100,0,0,4.791160206204567,3.2978155785235708,0.8364152406568107,0.16358475934318942,100,100,80,100,0.7061977237279939,0.780691280851669,0,9,4,5,4,3,7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary.csv,100,0,0,4.80570897750932,3.145257897742535,0.7922018295705818,0.20779817042941798,100,100,83,100,0.6824711963608491,0.7439280154018971,0,9,5,2,1,2,7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary.csv,98,2,0,3.9138924255880725,2.5016848125893625,0.8400187030939485,0.15998129690605153,100,100,80,100,0.7485771025558767,0.8005232231865724,0,5,7,3,2,6,6
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary.csv,100,0,0,4.649991355491804,3.116134683806131,0.8658881103715694,0.13411188962843051,100,100,88,100,0.6897294186364789,0.7558853646784237,0,2,0,5,4,6,1
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary.csv,100,0,0,4.609057157058595,3.0849745551930483,0.8589763182539373,0.14102368174606253,100,100,84,100,0.6911823587230601,0.7657701957183495,0,4,4,6,5,3,4
