param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,C,major_donor,70,3,73,95.9
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,D,major_donor,69,2,71,97.2
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,B,major_donor,67,3,70,95.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,E,major_donor,65,2,67,97.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,F,major_donor,60,0,60,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,H,hybrid_taxon,58,0,58,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,G,hybrid_taxon,57,0,57,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,C,minor_donor,28,3,31,90.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,D,minor_donor,27,1,28,96.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,B,minor_donor,25,3,28,89.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,E,minor_donor,22,1,23,95.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,H,minor_donor,17,3,20,85.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,G,minor_donor,13,3,16,81.2
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,B,hybrid_taxon,15,0,15,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,E,hybrid_taxon,14,0,14,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,C,hybrid_taxon,12,0,12,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,G,major_donor,9,2,11,81.8
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,D,hybrid_taxon,10,0,10,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,H,major_donor,8,2,10,80.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,F,hybrid_taxon,4,5,9,44.4
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,F,minor_donor,4,0,4,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000-summary,A,hybrid_taxon,3,0,3,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,C,major_donor,52,6,58,89.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,B,major_donor,46,6,52,88.5
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,D,major_donor,45,3,48,93.8
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,E,major_donor,44,3,47,93.6
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,G,minor_donor,33,5,38,86.8
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,H,minor_donor,30,5,35,85.7
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,F,major_donor,34,0,34,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,G,hybrid_taxon,30,0,30,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,H,hybrid_taxon,30,0,30,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,B,hybrid_taxon,29,0,29,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,E,minor_donor,23,3,26,88.5
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,C,minor_donor,21,4,25,84.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,D,minor_donor,21,3,24,87.5
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,B,minor_donor,20,4,24,83.3
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,C,hybrid_taxon,23,0,23,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,E,hybrid_taxon,23,0,23,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,D,hybrid_taxon,22,0,22,100.0
SNaQ-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000-summary,F,minor_donor,18,0,18,100.0
