"dup_loss_rate","RV","N_ind","ILS","snaq_rec_all","snaq_rec_noF","fg_rec_alltrees","fg_rec_alltrees_noF","fg_rec_best","fg_rec_best_noF"
0,"N",1,"high (SF=1.0)",84,100,97,100,80,99
0,"N",1,"low (SF=0.5)",88,100,94,100,78,100
0,"N",2,"high (SF=1.0)",86,100,97,100,85,100
0,"N",2,"low (SF=0.5)",89,100,96,100,72,100
0,"G",1,"high (SF=1.0)",92,100,94,100,78,100
0,"G",1,"low (SF=0.5)",95,100,96,100,87,100
0,"G",2,"high (SF=1.0)",88,100,97,100,91,100
0,"G",2,"low (SF=0.5)",92,100,97,100,78,100
0,"L",1,"high (SF=1.0)",80,100,98,99,96,99
0,"L",1,"low (SF=0.5)",85,100,99,100,98,100
0,"L",2,"high (SF=1.0)",80,100,100,100,100,100
0,"L",2,"low (SF=0.5)",83,100,99,99,99,99
3e-04,"N",1,"high (SF=1.0)",78,100,97,100,80,100
3e-04,"N",1,"low (SF=0.5)",87,100,98,100,85,100
3e-04,"N",2,"high (SF=1.0)",82,100,93,100,79,100
3e-04,"N",2,"low (SF=0.5)",92,100,95,100,78,100
3e-04,"G",1,"high (SF=1.0)",97,100,98,100,78,100
3e-04,"G",1,"low (SF=0.5)",100,100,98,100,86,100
3e-04,"G",2,"high (SF=1.0)",93,100,94,100,80,100
3e-04,"G",2,"low (SF=0.5)",100,100,99,100,86,99
3e-04,"L",1,"high (SF=1.0)",85,100,98,100,94,99
3e-04,"L",1,"low (SF=0.5)",74,100,99,100,99,100
3e-04,"L",2,"high (SF=1.0)",71,100,100,100,98,100
3e-04,"L",2,"low (SF=0.5)",75,100,100,100,100,100
4e-04,"N",1,"high (SF=1.0)",78,100,95,99,83,99
4e-04,"N",1,"low (SF=0.5)",81,100,96,100,85,99
4e-04,"N",2,"high (SF=1.0)",86,100,96,100,80,100
4e-04,"N",2,"low (SF=0.5)",84,100,99,100,82,99
4e-04,"G",1,"high (SF=1.0)",91,100,98,100,90,100
4e-04,"G",1,"low (SF=0.5)",99,100,97,100,86,100
4e-04,"G",2,"high (SF=1.0)",97,100,96,100,83,100
4e-04,"G",2,"low (SF=0.5)",100,100,97,100,81,100
4e-04,"L",1,"high (SF=1.0)",88,100,97,100,96,100
4e-04,"L",1,"low (SF=0.5)",78,100,98,99,97,99
4e-04,"L",2,"high (SF=1.0)",76,100,99,100,99,100
4e-04,"L",2,"low (SF=0.5)",79,100,100,100,100,100
