"dup_loss_rate","RV","N_ind","ILS","snaq_H0","snaq_H1","snaq_Hgt1","fg_H0_wr30","fg_H1_wr30","fg_Hgt1_wr30","fg_H0_wr37","fg_H1_wr37","fg_Hgt1_wr37"
0,"N",1,"high (SF=1.0)",100,0,0,72,23,5,92,7,1
0,"N",1,"low (SF=0.5)",100,0,0,84,13,3,96,4,0
0,"N",2,"high (SF=1.0)",100,0,0,75,25,0,97,3,0
0,"N",2,"low (SF=0.5)",98,2,0,76,24,0,99,1,0
0,"G",1,"high (SF=1.0)",98,2,0,58,33,9,90,10,0
0,"G",1,"low (SF=0.5)",95,3,2,80,18,2,94,6,0
0,"G",2,"high (SF=1.0)",100,0,0,59,34,7,97,3,0
0,"G",2,"low (SF=0.5)",98,2,0,74,23,3,96,4,0
0,"L",1,"high (SF=1.0)",100,0,0,1,46,53,16,71,13
0,"L",1,"low (SF=0.5)",99,1,0,0,3,97,0,12,88
0,"L",2,"high (SF=1.0)",98,2,0,1,38,61,16,65,19
0,"L",2,"low (SF=0.5)",100,0,0,0,0,100,0,3,97
3e-04,"N",1,"high (SF=1.0)",100,0,0,77,20,3,95,5,0
3e-04,"N",1,"low (SF=0.5)",100,0,0,88,12,0,98,2,0
3e-04,"N",2,"high (SF=1.0)",99,1,0,70,27,3,94,6,0
3e-04,"N",2,"low (SF=0.5)",100,0,0,91,9,0,99,1,0
3e-04,"G",1,"high (SF=1.0)",99,1,0,67,28,5,94,6,0
3e-04,"G",1,"low (SF=0.5)",97,3,0,77,18,5,97,3,0
3e-04,"G",2,"high (SF=1.0)",100,0,0,63,31,6,92,8,0
3e-04,"G",2,"low (SF=0.5)",100,0,0,76,22,2,97,3,0
3e-04,"L",1,"high (SF=1.0)",99,1,0,1,52,47,22,61,17
3e-04,"L",1,"low (SF=0.5)",99,1,0,0,1,99,0,12,88
3e-04,"L",2,"high (SF=1.0)",100,0,0,0,30,70,9,59,32
3e-04,"L",2,"low (SF=0.5)",97,3,0,0,0,100,0,2,98
4e-04,"N",1,"high (SF=1.0)",100,0,0,77,20,3,96,4,0
4e-04,"N",1,"low (SF=0.5)",99,1,0,82,17,1,97,3,0
4e-04,"N",2,"high (SF=1.0)",100,0,0,74,23,3,96,4,0
4e-04,"N",2,"low (SF=0.5)",100,0,0,77,20,3,96,4,0
4e-04,"G",1,"high (SF=1.0)",97,3,0,62,34,4,89,11,0
4e-04,"G",1,"low (SF=0.5)",97,3,0,69,30,1,93,7,0
4e-04,"G",2,"high (SF=1.0)",99,1,0,61,35,4,90,10,0
4e-04,"G",2,"low (SF=0.5)",98,2,0,75,22,3,92,8,0
4e-04,"L",1,"high (SF=1.0)",100,0,0,5,44,51,16,67,17
4e-04,"L",1,"low (SF=0.5)",100,0,0,0,2,98,0,14,86
4e-04,"L",2,"high (SF=1.0)",100,0,0,3,29,68,14,55,31
4e-04,"L",2,"low (SF=0.5)",99,1,0,0,0,100,0,5,95
