repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,1,1,3,4.06879715463287,True,True,True,True,4.06879715463238,True,True,True,True,2.42925677058894,True,True,True,True,0.9885714509378207,0.011428549062179631,0.984523990399646,0.0154760096003543,True,False,True,False,True,False,True,False,1,"G,H","B,C,D,E,F",D
002,0,1,14,2.38666378924375,True,True,True,True,2.38666378924365,True,True,True,True,1.80487600060405,True,True,True,True,0.8120086058950752,0.1879913941049248,0.991823089917205,0.00817691008279486,True,True,True,True,True,True,True,True,0,"D,E","B,C",G
003,0,1,13,2.04906909349027,True,True,True,True,2.04906909349004,True,True,True,True,1.69639079773078,True,True,True,True,0.9482410554460318,0.05175894455396828,0.967004657497049,0.0329953425029511,True,False,True,False,True,False,True,False,0,C,B,"G,H"
004,1,1,1,3.26880293617539,True,True,True,True,3.26880293617531,True,True,True,True,2.32697427950605,True,True,True,True,0.979348015501477,0.0206519844985227,0.979348015501477,0.0206519844985227,True,False,True,True,True,False,True,False,0,F,"B,C,D,E",D
005,0,1,13,2.34128293471329,True,True,True,True,2.3412829347134,False,True,False,False,2.05145770562206,True,True,True,True,0.7821989755450497,0.21780102445495036,0.915530514308491,0.084469485691509,True,True,True,True,True,True,True,True,0,"B,C",F,D
006,>1,1,1,3.88220639277583,True,True,True,True,3.88220639277575,True,True,True,True,3.15549816779736,True,True,True,True,0.985908652454127,0.0140913475458734,0.985908652454127,0.0140913475458734,True,False,True,False,True,False,True,False,1,"B,C","D,E","D,E,F,G,H"
007,0,1,8,2.25030993996298,True,True,True,True,2.25030993996312,True,True,True,True,1.8122324800384,True,True,True,True,0.990470937380956,0.00952906261904404,0.996430491770865,0.00356950822913471,True,False,True,False,True,True,True,True,0,H,G,B
008,0,1,1,2.60855877466904,True,True,True,True,2.60855877466856,False,True,False,False,2.60855877466886,True,True,True,True,0.930489494372608,0.0695105056273918,0.930489494372608,0.0695105056273918,False,False,True,False,False,False,False,False,0,"D,E",F,C
009,0,1,7,2.74406546630766,True,True,True,True,2.74406546630768,True,True,True,True,1.85035117595295,True,True,True,True,0.9846235007970098,0.01537649920299033,0.983222585483604,0.0167774145163962,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",E
010,0,1,1,2.36303820807423,True,True,True,True,2.36303820807423,True,True,True,True,1.61295939108755,True,True,True,True,0.936965119160707,0.0630348808392933,0.936965119160707,0.0630348808392933,True,False,True,False,True,False,True,False,0,"D,E","B,C","B,C,F,G,H"
