repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,>1,1,1,4.14586351974065,True,True,True,True,4.14586351974068,False,True,False,False,3.65502028306088,True,True,True,True,0.85373076717324,0.14626923282676,0.85373076717324,0.14626923282676,False,False,True,False,False,False,False,False,1,"D,E","B,C,F",C
002,1,1,2,4.74592689414856,True,True,True,True,4.7459268941489,True,True,True,True,2.47519713176375,True,True,True,True,0.9817752852098001,0.0182247147901998,0.978049092383779,0.021950907616221,True,False,True,False,True,False,True,True,1,H,G,D
003,>1,1,1,5.7313691052641,True,True,True,True,5.73136910526404,True,True,True,True,4.54701894592598,True,True,True,True,0.967972073497283,0.0320279265027171,0.967972073497283,0.0320279265027171,True,False,True,False,True,False,True,False,>1,"D,E","B,C",H
004,>1,1,1,5.25566543554841,True,True,True,True,5.25566543554846,True,True,True,True,3.06167853516715,True,True,True,True,0.97605993632147,0.0239400636785301,0.97605993632147,0.0239400636785301,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
005,1,1,2,4.0755562932715,True,True,True,True,4.07555629327158,True,True,True,True,2.78469520491773,True,True,True,True,0.9894488939878969,0.010551106012103104,0.986530840830287,0.0134691591697132,True,False,True,False,True,True,True,False,1,G,H,C
006,1,1,1,3.97505539709859,True,True,True,True,3.97505539709856,True,True,True,True,2.38273336993974,True,True,True,True,0.9821471442847,0.0178528557153004,0.9821471442847,0.0178528557153004,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
007,1,1,1,6.00497275380386,True,True,True,True,6.00497275380376,True,True,True,True,2.8672309753957,True,True,True,True,0.987767689683807,0.0122323103161934,0.987767689683807,0.0122323103161934,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
008,1,1,3,3.36036069815985,True,True,True,True,3.36036069815981,True,True,True,True,2.84386127911616,True,True,True,True,0.9908957322354867,0.009104267764513074,0.988249154294438,0.0117508457055616,True,False,True,False,True,False,True,True,0,H,G,D
009,1,1,1,4.20045654709095,True,True,True,True,4.20045654709067,True,True,True,True,2.79889879727704,True,True,True,True,0.979991082691317,0.0200089173086826,0.979991082691317,0.0200089173086826,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
010,1,1,1,4.39089968805929,True,True,True,True,4.39089968805916,True,True,True,True,2.24429843108666,True,True,True,True,0.970056315287849,0.0299436847121507,0.970056315287849,0.0299436847121507,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
011,>1,1,3,4.21697037735444,True,True,True,True,4.21697037735444,True,True,True,True,3.19147862958257,True,True,True,True,0.870822365253642,0.12917763474635793,0.943850551643111,0.0561494483568886,True,False,True,True,True,True,True,False,1,G,H,"B,C"
012,0,1,5,2.90362479309948,True,True,True,True,2.90362479309933,True,True,True,True,1.93150872401527,True,True,True,True,0.9503044122993961,0.04969558770060378,0.948220625893817,0.0517793741061831,True,False,True,False,True,False,True,False,0,D,E,"G,H"
013,>1,1,2,4.42241205205892,True,True,True,True,4.42241205205881,True,True,True,True,3.46963968666912,True,True,True,True,0.9708149531972845,0.0291850468027153,0.980820401650558,0.0191795983494418,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
014,1,1,1,5.20129084096848,True,True,True,True,5.20129084096842,True,True,True,True,2.47566250138801,True,True,True,True,0.963728160824364,0.036271839175636,0.963728160824364,0.036271839175636,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
015,>1,1,6,4.63588269187247,True,True,True,True,4.63588269187243,True,True,True,True,3.44140103416512,True,True,True,True,0.94349247119878,0.05650752880122006,0.960346193336301,0.0396538066636989,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
016,>1,1,1,3.87766745428815,True,True,True,True,3.87766745428851,True,True,True,True,3.04852659426984,True,True,True,True,0.973776173823315,0.0262238261766854,0.973776173823315,0.0262238261766854,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
017,>1,1,1,3.92358164366291,True,True,True,True,3.92358164366269,True,True,True,True,3.41718287091877,True,True,True,True,0.987040322616915,0.0129596773830855,0.987040322616915,0.0129596773830855,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
018,1,1,1,4.22429812504115,True,True,True,True,4.22429812504123,True,True,True,True,2.46604998041169,True,True,True,True,0.982128521536578,0.017871478463422,0.982128521536578,0.017871478463422,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
019,>1,1,1,5.356132433791,True,True,True,True,5.35613243379094,True,True,True,True,3.00948601527948,True,True,True,True,0.964135230451791,0.035864769548209,0.964135230451791,0.035864769548209,True,False,True,False,True,False,True,False,1,"D,E","B,C",H
