repID,best_k,H0_trees_found,H1_graphs_found,true_tree_wr,H0_best_tree_is_true_tree,H0_best_tree_is_true_tree_noF,H0_best_tree_is_true_tree_noG,H0_best_tree_is_true_tree_noH,H0_best_tree_WR,H1_best_graph_displayed_true_tree,H1_best_graph_displayed_true_tree_noF,H1_best_graph_displayed_true_tree_noG,H1_best_graph_displayed_true_tree_noH,H1_best_graph_WR,true_tree_found_in_H0,true_tree_found_in_H0_noF,true_tree_found_in_H0_noG,true_tree_found_in_H0_noH,avg_gamma1_H1,avg_gamma2_H1,best_graph_gamma1,best_graph_gamma2,True_tree_displayed_H1_major,True_tree_displayed_H1_minor,True_tree_noF_displayed_H1_major,True_tree_noF_displayed_H1_minor,True_tree_noG_displayed_H1_major,True_tree_noG_displayed_H1_minor,True_tree_noH_displayed_H1_major,True_tree_noH_displayed_H1_minor,best_k_new_WR_3.7,best_graph_hybrid_taxon,best_graph_major_donor,best_graph_minor_donor
001,0,1,2,2.42594475283193,True,True,True,True,2.4259447528322,True,True,True,True,1.92962048800277,True,True,True,True,0.9868420178697146,0.01315798213028552,0.981587201403563,0.0184127985964373,True,False,True,False,True,False,True,False,0,"G,H","B,C,D,E,F",B
002,0,1,4,2.60285952131191,True,True,True,True,2.60285952131197,True,True,True,True,1.98825311606744,True,True,True,True,0.9865339757499376,0.013466024250062368,0.991215004650803,0.0087849953491968,True,False,True,False,True,False,True,False,0,B,C,H
003,0,1,22,2.66381513367454,True,True,True,True,2.66381513367467,True,True,True,True,2.28497819936638,True,True,True,True,0.9230181569633483,0.07698184303665173,0.989845934687603,0.0101540653123972,True,False,True,False,True,False,True,False,0,D,E,C
004,1,1,1,3.49652286845674,True,True,True,True,3.49652286845671,False,True,False,False,1.74178224345583,True,True,True,True,0.929112833646478,0.0708871663535219,0.929112833646478,0.0708871663535219,False,False,True,False,False,False,False,False,0,"B,C","D,E,F",E
005,0,1,6,2.62180720173919,True,True,True,True,2.62180720173909,True,True,True,True,2.08837411073793,True,True,True,True,0.9916779193157433,0.008322080684256553,0.991890477580771,0.00810952241922858,True,False,True,False,True,True,True,True,0,H,G,C
006,0,1,5,2.55247579544211,True,True,True,True,2.55247579544207,True,True,True,True,2.20124730304468,True,True,True,True,0.9178009034070111,0.08219909659298856,0.902002710831971,0.0979972891680287,True,False,True,False,True,False,True,False,0,D,E,"G,H"
007,0,1,7,2.5702893473391,True,True,True,True,2.57028934733909,False,True,False,False,2.16215199973653,True,True,True,True,0.7658901747668435,0.23410982523315657,0.525051112297901,0.474948887702099,True,True,True,True,True,True,True,True,0,F,"B,C","G,H"
008,0,1,14,2.1049716675685,True,True,True,True,2.10497166756857,True,True,True,True,2.10497166756857,True,True,True,True,0.9318334135670768,0.0681665864329231,0.970632774295715,0.0293672257042846,True,False,True,False,True,False,True,True,0,E,D,"B,C,D,F,G,H"
009,>1,1,3,3.41513451184766,True,True,True,True,3.41513451184771,False,True,False,False,3.1734468399045,True,True,True,True,0.8070740166194437,0.19292598338055636,0.913423694534282,0.0865763054657179,True,False,True,True,True,False,True,False,0,"D,E",F,B
010,0,1,6,2.89182334487614,True,True,True,True,2.89182334487609,True,True,True,True,2.54019228581331,True,True,True,True,0.9760788559799022,0.023921144020097766,0.981629778146803,0.0183702218531974,True,False,True,False,True,False,True,False,0,"D,E","B,C",H
011,0,1,24,2.31923691566613,True,True,True,True,2.31923691566605,True,True,True,True,1.93541580521655,True,True,True,True,0.8825004403274428,0.11749955967255717,0.865557485702175,0.134442514297825,True,True,True,True,True,True,True,True,0,"B,C","D,E","D,E,F,G,H"
012,0,1,6,2.88078056668099,True,True,True,True,2.8807805666811,True,True,True,True,2.23190238784986,True,True,True,True,0.9124921835144656,0.08750781648553442,0.99113734149419,0.00886265850581025,True,False,True,False,True,True,True,True,0,E,D,G
013,1,1,3,3.11936611062909,True,True,True,True,3.11936611062916,True,True,True,True,2.17543851781405,True,True,True,True,0.9858790950501293,0.014120904949870667,0.987483153622037,0.012516846377963,True,False,True,False,True,True,True,False,0,G,H,E
