param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,C,major_donor,37,5,42,88.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,D,major_donor,31,6,37,83.8
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,F,minor_donor,35,0,35,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,G,minor_donor,29,4,33,87.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,B,major_donor,27,5,32,84.4
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,E,major_donor,26,6,32,81.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,H,minor_donor,27,5,32,84.4
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,B,hybrid_taxon,25,2,27,92.6
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,D,minor_donor,23,4,27,85.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,B,minor_donor,19,7,26,73.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,C,minor_donor,19,6,25,76.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,E,hybrid_taxon,21,3,24,87.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,E,minor_donor,22,2,24,91.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,D,hybrid_taxon,16,3,19,84.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,G,hybrid_taxon,18,0,18,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,F,major_donor,13,5,18,72.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,C,hybrid_taxon,15,2,17,88.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,F,hybrid_taxon,6,8,14,42.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,H,hybrid_taxon,14,0,14,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,H,major_donor,9,3,12,75.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,G,major_donor,5,3,8,62.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,E,major_donor,40,8,48,83.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,C,major_donor,36,6,42,85.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,D,major_donor,33,8,41,80.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,B,major_donor,33,6,39,84.6
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,E,minor_donor,22,13,35,62.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,G,minor_donor,26,8,34,76.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,H,minor_donor,23,8,31,74.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,B,hybrid_taxon,19,7,26,73.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,D,minor_donor,18,8,26,69.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,C,minor_donor,12,13,25,48.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,C,hybrid_taxon,16,7,23,69.6
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,F,hybrid_taxon,12,10,22,54.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,D,hybrid_taxon,17,5,22,77.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,F,major_donor,10,12,22,45.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,B,minor_donor,12,10,22,54.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,F,minor_donor,22,0,22,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,G,hybrid_taxon,16,0,16,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,E,hybrid_taxon,10,5,15,66.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,H,hybrid_taxon,13,0,13,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,H,major_donor,7,2,9,77.8
findgraph-DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,G,major_donor,4,2,6,66.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,E,major_donor,27,10,37,73.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,D,major_donor,26,10,36,72.2
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,C,major_donor,25,5,30,83.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,B,hybrid_taxon,19,9,28,67.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,F,major_donor,10,18,28,35.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,D,hybrid_taxon,17,9,26,65.4
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,D,minor_donor,17,9,26,65.4
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,E,hybrid_taxon,16,9,25,64.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,B,minor_donor,19,6,25,76.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,H,minor_donor,22,3,25,88.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,G,minor_donor,21,3,24,87.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,B,major_donor,18,5,23,78.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,C,hybrid_taxon,12,9,21,57.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,C,minor_donor,14,7,21,66.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,E,minor_donor,15,6,21,71.4
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,F,minor_donor,20,0,20,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,G,hybrid_taxon,18,0,18,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,H,hybrid_taxon,16,0,16,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,H,major_donor,12,1,13,92.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,G,major_donor,10,1,11,90.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,F,hybrid_taxon,6,4,10,60.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,B,major_donor,43,4,47,91.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,C,major_donor,36,4,40,90.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,E,major_donor,32,2,34,94.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,H,minor_donor,32,2,34,94.1
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,F,minor_donor,33,0,33,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,G,minor_donor,30,2,32,93.8
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,D,major_donor,29,2,31,93.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,E,minor_donor,28,1,29,96.6
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,D,minor_donor,26,3,29,89.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,B,minor_donor,24,4,28,85.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,C,hybrid_taxon,24,2,26,92.3
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,D,hybrid_taxon,19,4,23,82.6
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,C,minor_donor,18,4,22,81.8
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,E,hybrid_taxon,16,4,20,80.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,F,major_donor,14,6,20,70.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,B,hybrid_taxon,17,2,19,89.5
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,G,hybrid_taxon,19,0,19,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,H,hybrid_taxon,17,0,17,100.0
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,F,hybrid_taxon,8,3,11,72.7
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,H,major_donor,8,1,9,88.9
findgraph-DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,G,major_donor,6,1,7,85.7
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,B,major_donor,91,0,91,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,C,major_donor,91,0,91,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,D,hybrid_taxon,77,0,77,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,H,minor_donor,77,0,77,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,E,hybrid_taxon,76,0,76,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,G,hybrid_taxon,21,0,21,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,F,major_donor,15,2,17,88.2
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,E,major_donor,16,0,16,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,H,hybrid_taxon,15,0,15,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,D,major_donor,15,0,15,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,D,minor_donor,15,0,15,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,G,minor_donor,7,0,7,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,H,major_donor,6,0,6,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,F,minor_donor,4,0,4,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,B,hybrid_taxon,0,2,2,0.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,C,hybrid_taxon,0,2,2,0.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,B,minor_donor,2,0,2,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,E,minor_donor,0,2,2,0.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,C,minor_donor,1,0,1,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,B,major_donor,82,2,84,97.6
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,C,major_donor,82,2,84,97.6
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,H,minor_donor,81,2,83,97.6
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,D,hybrid_taxon,81,1,82,98.8
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,E,hybrid_taxon,75,1,76,98.7
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,E,major_donor,13,0,13,100.0
findgraph-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,G,hybrid_taxon,12,0,12,100.0
