repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.011555839978011512,0.19290807147380692,5.209880722517278,1.9194297398747864,2.2935017715144337,2.2132886428438,11.6211848174822,7.712238963148351,0.7057727618277385,0.2942272381722615,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,F,"B,C,D,E","D,E"
002,0.7240113868072207,0.7195659714435609,-1.3710212427677047,-1.3710212427677047,2.3050125177028677,2.357518767018006,5.824127437477685,4.343410177858635,0.5313574402031014,0.46864255979689856,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
003,0.7333125840627477,0.7200232418231552,-1.3710212427677047,-1.3710212427677047,2.2011616891893433,2.352026801545417,4.049293020329907,3.286606754624931,0.9929995151139482,0.007000484886051774,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,B,C,"G,H"
004,0.5509467519163636,0.6547271973379224,-0.274204248553541,-0.8226127456606228,2.1413227589260644,2.0662704770214675,12.806504396235024,9.787126146709767,0.9860777873040804,0.013922212695919615,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",C
005,0.6454345411548672,0.6382221224086391,-0.8226127456606228,-0.8226127456606228,2.205256877267779,2.3256658841095974,8.478863017639906,6.2806135325051695,0.5559713851114276,0.44402861488857237,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,F,"G,H","B,C"
006,0.8018717647788554,0.787184466179291,-1.9194297398747864,-1.9194297398747864,2.2626087810844804,2.409255336861472,3.1512009902209126,2.530559766729918,0.9614107141689651,0.038589285831034936,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
007,0.6421897694664804,0.6401792516700291,-0.8226127456606228,-0.8226127456606228,2.2579516967069178,2.291796419202121,5.362782455445565,3.9457542273331634,0.8728444397599875,0.12715556024001257,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","B,C"
008,0.3563188613680931,0.4513679654216126,0.8226127456606225,0.27420424855354075,2.2334436811103444,2.243788418315196,16.978134033384315,13.232362180921072,0.9841299243875342,0.015870075612465753,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
009,0.36548549759504956,0.6360133944011115,0.8226127456606225,-0.8226127456606228,2.3924693884010484,2.365033500533684,5.810150596008948,4.109917857033158,0.9938794372123266,0.006120562787673415,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,H,G,B
010,0.6371152175285181,0.7274065960259177,-0.8226127456606228,-1.3710212427677047,2.345239939950675,2.2661948499068556,6.252628798852945,5.016328718142798,0.9958877568066219,0.00411224319337806,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,G,H,B
011,0.1887744597019041,0.6533001779726986,1.9194297398747864,-0.8226127456606228,2.1751847212199165,2.0865483964016533,20.0940616471314,13.781886918792393,0.9743032982891866,0.025696701710813404,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
012,0.09633272155576464,0.34106624949074427,2.467838236981868,0.8226127456606225,1.8943525090572308,2.0085531395225047,24.58426811291969,20.946751893301165,0.8624036570428808,0.13759634295711926,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,"B,C,D,E,F","G,H",H
013,0.13112625602183137,0.2653807272051041,2.467838236981868,1.3710212427677044,2.2012983182009385,2.1871806963523235,17.666144711321966,12.662234174129114,0.9793538316693364,0.020646168330663545,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",B
014,0.5462047767110361,0.6401024355376734,-0.274204248553541,-0.8226127456606228,2.3622341915948657,2.2931083412393862,6.524658268988729,3.3797190277549576,0.9831541608446731,0.016845839155326926,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
015,0.546726665745507,0.6377090475490462,-0.274204248553541,-0.8226127456606228,2.3357309557704533,2.334700637698369,7.045303923593218,5.301216111177378,0.9913091723257434,0.008690827674256564,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,C,B,D
016,0.3507274537007829,0.5493954431890832,0.8226127456606225,-0.274204248553541,2.145812498378058,2.2089360552629396,17.513534781684182,14.088913315460385,0.9833607470420611,0.01663925295793889,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
017,0.5464069042109353,0.5508440372991155,-0.274204248553541,-0.274204248553541,2.3518989288293333,2.1456723362237966,11.659087968156255,8.93310787743933,0.9883095554135531,0.011690444586446814,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,E,D,G
018,0.17740714617528255,0.5553159060659403,1.9194297398747864,-0.274204248553541,2.0744054316205496,1.9712215212183235,20.37657646335585,16.212620118156206,0.9668912477654498,0.03310875223455028,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
019,0.5491787900476742,0.5480556330258762,-0.274204248553541,-0.274204248553541,2.2187173697695903,2.2708350290858434,12.128096874524568,9.531453638788582,0.9883386701426615,0.01166132985733848,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",E
020,0.5454761649801267,0.6395758213018989,-0.274204248553541,-0.8226127456606228,2.400250613481599,2.3021402268454776,6.021086941709635,4.249679901928108,0.9716644397978687,0.0283355602021314,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
021,0.10839162556696189,0.3545053292786661,2.467838236981868,0.8226127456606225,1.9980441564509563,2.2043020138858127,23.434489136171983,17.027211346061605,0.9635919042813865,0.036408095718613455,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",D
022,0.5519493520802323,0.6357333355837542,-0.274204248553541,-0.8226127456606228,2.0997672624343333,2.370114682673088,11.843891276989167,7.8798665961268135,0.9870143544191086,0.012985645580891436,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,"G,H","B,C,D,E,F",B
023,0.7191431390496699,0.7301627781495725,-1.3710212427677047,-1.3710212427677047,2.362616110843664,2.235462644081243,6.047077202768489,3.8883461220060638,0.5105072512446309,0.4894927487553691,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
