repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.80739862720609,0.7963747731165189,-1.9194297398747864,-1.9194297398747864,2.2104332239617603,2.3160765372318304,4.358862801217375,2.2333172598065394,0.8590605629298598,0.14093943707014023,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
002,0.5526723983036214,0.8091832952868085,-0.274204248553541,-1.9194297398747864,2.0707777043303985,2.193908175541256,4.028924027971596,2.460156290646742,0.895273275329646,0.10472672467035403,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,C,B,F
003,0.8040730936254246,0.8225256141123709,-1.9194297398747864,-1.9194297398747864,2.2416427917969073,2.0749852794115027,3.3356256845313887,2.4817863087203724,0.898666387835386,0.10133361216461399,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,B,C,"C,D,E,F"
004,0.746757427451503,0.7481345119113127,-1.3710212427677047,-1.3710212427677047,2.063794592565052,2.0504904969776097,3.8839744419597673,3.3644597673865904,0.9739592839064376,0.026040716093562375,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,"B,C,E,F,G,H"
005,0.8014011323499977,0.8080294160370269,-1.9194297398747864,-1.9194297398747864,2.267123645516527,2.204574874196802,2.579065713802897,1.8440325322935622,0.9499905409588014,0.05000945904119856,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,E,D,"B,C,D,F,G,H"
006,0.8137720650093153,0.8158247909233538,-1.9194297398747864,-1.9194297398747864,2.15211034739588,2.1337249014076805,3.209474142944454,2.0983526724039416,0.9222652108295806,0.07773478917041947,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","B,C,F,G,H"
007,0.2731446172112838,0.45230562888763415,1.3710212427677044,0.27420424855354075,2.2724237664740454,2.2881190357593955,6.184765660367394,4.548646714838165,0.8533479042275994,0.1466520957724006,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,B,C,F
008,0.5504780507264257,0.7939710220990157,-0.274204248553541,-1.9194297398747864,2.1613139974304327,2.339976222486995,6.0832923550406255,3.574505469259186,0.772363605586817,0.22763639441318295,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,D,E,"B,C"
009,0.5497475048723995,0.8129216655194043,-0.274204248553541,-1.9194297398747864,2.1932226434882915,2.159782779386699,6.4363266862884965,2.61390542076379,0.7448772820658776,0.2551227179341224,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","D,E,F,G,H"
010,0.816554855266223,0.8198194355607774,-1.9194297398747864,-1.9194297398747864,2.127231247879479,2.098477787005711,3.161801896175173,2.426859924107865,0.9565785985408887,0.04342140145911132,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","D,E"
011,0.8080147038015539,0.8139274028427247,-1.9194297398747864,-1.9194297398747864,2.2047112916886067,2.1507124191240523,3.737969571172828,2.562001572923156,0.5346535699760566,0.4653464300239433,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,F,"B,C,D,E,G,H","B,C"
012,0.8045417671344652,0.8121696315402958,-1.9194297398747864,-1.9194297398747864,2.237210938189531,2.166595333315813,3.795856116819407,3.0940406873392416,0.9849819004493748,0.015018099550625164,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,"B,C,E,F,G,H"
013,0.6488658196737455,0.6401254671266661,-0.8226127456606228,-0.8226127456606228,2.151970595433176,2.292714843451635,5.405985692657492,3.4130193558168447,0.8147452353859062,0.18525476461409388,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","D,E"
014,0.35458262504516036,0.550778098564402,0.8226127456606225,-0.274204248553541,2.205529619446457,2.148473841968772,6.8677625979852195,4.681777351809731,0.8786065487083705,0.12139345129162944,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,D,E,F
015,0.8106811417805013,0.8144884667405325,-1.9194297398747864,-1.9194297398747864,2.180156578497727,2.145672336223797,2.676459586839904,1.7585214366933852,0.9548293811595021,0.045170618840497834,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,F,"B,C,D,E","D,E"
016,0.8159514092425988,0.8063652585259506,-1.9194297398747864,-1.9194297398747864,2.1325969907162547,2.220072477310431,6.069123228481469,4.252238627152271,0.8503473616041518,0.1496526383958482,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
017,0.6404181864533477,0.6443312131108553,-0.8226127456606228,-0.8226127456606228,2.2877246797913227,2.2229155142421946,4.877254904231799,3.6326294057233643,0.9351055554410169,0.06489444455898312,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,C,B,F
018,0.7399068411752354,0.8061482304936496,-1.3710212427677047,-1.9194297398747864,2.132032811608309,2.2221035891475114,4.77501051293953,3.3986599048396644,0.5945056548682597,0.40549434513174026,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
019,0.7196614446018235,0.8024840101314791,-1.3710212427677047,-1.9194297398747864,2.3563703450450046,2.2567526073602004,5.519582616481205,3.860983448033724,0.8072929777139595,0.19270702228604056,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,A,"B,C,D,E,F,G,H","D,E"
