repID,p_H0,p_H1,z_uncorrected_H0,z_uncorrected_H1,sigma_H0,sigma_H1,score_H0,score_H1,gamma_1,gamma_2,RF_net0_true,RF_net0_true_noF,RF_net1_1_true,RF_net1_2_true,RF_net1_1_true_noF,RF_net1_2_true_noF,RF_net1_1_true_noG,RF_net1_2_true_noG,RF_net1_1_true_noH,RF_net1_2_true_noH,RF_net0_alter1,RF_net0_alter2,RF_net0_alter3,RF_net1_1_alter1,RF_net1_1_alter2,RF_net1_1_alter3,RF_net1_2_alter1,RF_net1_2_alter2,RF_net1_2_alter3,hybrid_taxon,major_donor,minor_donor
001,0.058683189378292026,0.12969731972078344,3.5646552311960313,2.467838236981868,2.2763907589027945,2.188143031159532,11.718026042664357,8.434556655245961,0.5292789925894569,0.4707210074105431,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,4.0,F,"G,H","B,C"
002,0.8015669935599039,0.8173218813838177,-1.9194297398747864,-1.9194297398747864,2.2655311913428524,2.120434059692438,3.123918735071905,1.9856207083832889,0.9550945253725042,0.0449054746274958,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,C,B,"G,H"
003,0.8033810424314107,0.800329480461601,-1.9194297398747864,-1.9194297398747864,2.2482073058829695,2.2774474565384004,4.309500687595726,2.841433795411128,0.5165252060150085,0.4834747939849915,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,F,"B,C","G,H"
004,0.798958206085575,0.8018162850453345,-1.9194297398747864,-1.9194297398747864,2.290746340604406,2.263140409094891,3.723410183161525,2.901152392482461,0.9934212522155474,0.0065787477844526055,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,6.0,"B,C","D,E",H
005,0.7376475263796133,0.8169376983996364,-1.3710212427677047,-1.9194297398747864,2.155322141545106,2.1238353730290207,3.8775398728727355,2.982376655290863,0.9808749691916188,0.019125030808381238,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,H,G,F
006,0.7994448787883626,0.8079705793380825,-1.9194297398747864,-1.9194297398747864,2.2860150178102794,2.205120493528061,2.704635588318455,2.335022483914563,0.9716406575211902,0.02835934247880976,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","B,C,F,G,H"
007,0.8159355739313274,0.8024561022551658,-1.9194297398747864,-1.9194297398747864,2.132738012173887,2.2570191267124566,5.0300859072622846,2.812697384079373,0.9318686225046545,0.06813137749534552,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","B,C"
008,0.8126447988925896,0.8219724197183411,-1.9194297398747864,-1.9194297398747864,2.1622878443455456,2.079762855191568,3.597380995648828,2.0721692742786373,0.9495794970896986,0.050420502910301465,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"D,E","B,C","G,H"
009,0.8148641245530175,0.8206591168492323,-1.9194297398747864,-1.9194297398747864,2.14230569345519,2.091155740452409,3.888076411548812,2.7511888242267797,0.5019682357368012,0.4980317642631988,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
010,0.8054998192278053,0.8085899976724995,-1.9194297398747864,-1.9194297398747864,2.2281858158769396,2.1993847396675967,4.113313754840786,3.0921146194311575,0.6983719773388997,0.3016280226611004,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,"B,C","D,E,F","D,E"
011,0.8157615367214075,0.801042676964052,-1.9194297398747864,-1.9194297398747864,2.1342886332276634,2.270570131443754,3.884055846169278,3.0797571805369,0.971155134522802,0.028844865477198008,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,H,G,"B,C"
012,0.7327303405031791,0.8231829250083252,-1.3710212427677047,-1.9194297398747864,2.2074378711273424,2.069324832682847,3.905949298067341,2.922394355616829,0.9917591561384748,0.008240843861525187,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,"D,E","B,C",H
013,0.8005484003907233,0.7969285391038226,-1.9194297398747864,-1.9194297398747864,2.2753335705216617,2.31061623131602,2.761312151392369,1.7489618451238536,0.8736438564388678,0.12635614356113223,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
014,0.8093470334195019,0.8057875084852008,-1.9194297398747864,-1.9194297398747864,2.192399722074736,2.225484656178787,6.0561762352700255,4.078815041865244,0.8769101833003263,0.12308981669967362,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,"B,C","D,E","G,H"
015,0.7274772513516203,0.8085012878107756,-1.3710212427677047,-1.9194297398747864,2.2653984362994435,2.2002050485441336,4.8154266884013905,3.7241842581333873,0.9879915318514367,0.01200846814856324,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,D,E,C
016,0.8012079633645753,0.8008913965580347,-1.9194297398747864,-1.9194297398747864,2.2689800961426974,2.27202668627767,2.4308370810984883,1.5856116391407205,0.6276858103183627,0.3723141896816373,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,F,"D,E","G,H"
017,0.7979650332341963,0.8090940895324914,-1.9194297398747864,-1.9194297398747864,2.3004412783611685,2.194730531355308,2.978998246650516,2.542664281050124,0.9939462000187554,0.0060537999812446,0.0,0.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,B,C,G
018,0.8060037932543787,0.8261284140103181,-1.9194297398747864,-1.9194297398747864,2.223456632924563,2.044173822487058,3.822418065762918,2.6759950970258957,0.91601257351853,0.08398742648146994,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,"G,H","B,C,D,E,F","D,E"
019,0.8249719119072237,0.8129832879011307,-1.9194297398747864,-1.9194297398747864,2.0540076359208235,2.1592257036025067,5.3632971214325265,3.316170046934055,0.789077366498134,0.210922633501866,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,"B,C","D,E,F","D,E"
