parameter_setting,n_genes_mean,n_genes_min,n_genes_max,n_iterations,n_repeated_taxa_removed,n_insufficient_taxa_removed,percentage_genes_meet_min,pert_trees_experiencing_gene_loss_only,pert_trees_experiencing_gene_duplication_and_loss,pert_trees_experiencing_nothing,pert_false_HP,pert_weak_HP,pert_strong_HP,mean_RF_true_and_estimated_species_trees,num_estimated_species_tree_diff_from_truth,mean_num_taxa_all_genes,mean_num_taxa_loss_only,mean_num_taxa_dup_and_loss,mean_num_taxa_nothing,mean_num_taxa_false_HP,mean_num_taxa_weak_HP,mean_num_taxa_strong_HP,mean_internal_bl_locus_all,mean_internal_bl_locus_loss_only,mean_internal_bl_locus_dup_and_loss,mean_internal_bl_locus_nothing,mean_internal_bl_locus_false_HP,mean_internal_bl_locus_weak_HP,mean_internal_bl_locus_strong_HP,mean_internal_bl_gene_all,mean_internal_bl_gene_loss_only,mean_internal_bl_gene_dup_and_loss,mean_internal_bl_gene_nothing,mean_internal_bl_gene_false_HP,mean_internal_bl_gene_weak_HP,mean_internal_bl_gene_strong_HP,mean_RF_genetree_vs_sptree_all,mean_RF_genetree_vs_sptree_loss_only,mean_RF_genetree_vs_sptree_dup_and_loss,mean_RF_genetree_vs_sptree_nothing,mean_RF_genetree_vs_sptree_false_HP,mean_RF_genetree_vs_sptree_weak_HP,mean_RF_genetree_vs_sptree_strong_HP,mean_RF_genetree_vs_sptree_noF_all,mean_RF_genetree_vs_sptree_noF_loss_only,mean_RF_genetree_vs_sptree_noF_dup_and_loss,mean_RF_genetree_vs_sptree_noF_nothing,mean_RF_genetree_vs_sptree_noF_false_HP,mean_RF_genetree_vs_sptree_noF_weak_HP,mean_RF_genetree_vs_sptree_noF_strong_HP,mean_RF_true_vs_est_genetree_all,mean_RF_true_vs_est_genetree_loss_only,mean_RF_true_vs_est_genetree_dup_and_loss,mean_RF_true_vs_est_genetree_nothing,mean_RF_true_vs_est_genetree_false_HP,mean_RF_true_vs_est_genetree_weak_HP,mean_RF_true_vs_est_genetree_strong_HP
DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.024734237848740005,NaN,NaN,0.024734237848740005,NaN,NaN,NaN,0.23261,NaN,NaN,0.23261,NaN,NaN,NaN,0.0983,NaN,NaN,0.0983,NaN,NaN,NaN,0.20028400000000002,NaN,NaN,0.20028400000000002,NaN,NaN,NaN
DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.02590358856074,NaN,NaN,0.02590358856074,NaN,NaN,NaN,0.35500999999999977,NaN,NaN,0.35500999999999977,NaN,NaN,NaN,0.217535,NaN,NaN,0.217535,NaN,NaN,NaN,0.22256399999999993,NaN,NaN,0.22256399999999993,NaN,NaN,NaN
DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.02617173903313846,NaN,NaN,0.02617173903313846,NaN,NaN,NaN,0.2321585,NaN,NaN,0.2321585,NaN,NaN,NaN,0.09778,NaN,NaN,0.09778,NaN,NaN,NaN,0.14762615384615385,NaN,NaN,0.14762615384615385,NaN,NaN,NaN
DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.027113052604953846,NaN,NaN,0.027113052604953846,NaN,NaN,NaN,0.3546924374999998,NaN,NaN,0.3546924374999998,NaN,NaN,NaN,0.2175415625,NaN,NaN,0.2175415625,NaN,NaN,NaN,0.17713846153846155,NaN,NaN,0.17713846153846155,NaN,NaN,NaN
DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.025546488210500002,NaN,NaN,0.025546488210500002,NaN,NaN,NaN,0.232788,NaN,NaN,0.232788,NaN,NaN,NaN,0.0985475,NaN,NaN,0.0985475,NaN,NaN,NaN,0.07614800000000004,NaN,NaN,0.07614800000000004,NaN,NaN,NaN
DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.03108904801446,NaN,NaN,0.03108904801446,NaN,NaN,NaN,0.3557319999999998,NaN,NaN,0.3557319999999998,NaN,NaN,NaN,0.21833,NaN,NaN,0.21833,NaN,NaN,NaN,0.08343800000000003,NaN,NaN,0.08343800000000003,NaN,NaN,NaN
DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.023712419083315384,NaN,NaN,0.023712419083315384,NaN,NaN,NaN,0.23328799999999997,NaN,NaN,0.23328799999999997,NaN,NaN,NaN,0.09869,NaN,NaN,0.09869,NaN,NaN,NaN,0.06825153846153849,NaN,NaN,0.06825153846153849,NaN,NaN,NaN
DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.025313716411046152,NaN,NaN,0.025313716411046152,NaN,NaN,NaN,0.3561670624999999,NaN,NaN,0.3561670624999999,NaN,NaN,NaN,0.21875375,NaN,NaN,0.21875375,NaN,NaN,NaN,0.08548153846153851,NaN,NaN,0.08548153846153851,NaN,NaN,NaN
DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.024444693302259998,NaN,NaN,0.024444693302259998,NaN,NaN,NaN,0.23338399999999995,NaN,NaN,0.23338399999999995,NaN,NaN,NaN,0.098765,NaN,NaN,0.098765,NaN,NaN,NaN,0.13187800000000008,NaN,NaN,0.13187800000000008,NaN,NaN,NaN
DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,8.0,NaN,NaN,8.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.02599901040226,NaN,NaN,0.02599901040226,NaN,NaN,NaN,0.3554679999999998,NaN,NaN,0.3554679999999998,NaN,NaN,NaN,0.217685,NaN,NaN,0.217685,NaN,NaN,NaN,0.13419800000000007,NaN,NaN,0.13419800000000007,NaN,NaN,NaN
DUP0.0-LOS0.0-RVN-N_ind2-SF0.5-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.026238896125023076,NaN,NaN,0.026238896125023076,NaN,NaN,NaN,0.2332875,NaN,NaN,0.2332875,NaN,NaN,NaN,0.099304375,NaN,NaN,0.099304375,NaN,NaN,NaN,0.07249230769230772,NaN,NaN,0.07249230769230772,NaN,NaN,NaN
DUP0.0-LOS0.0-RVN-N_ind2-SF1.0-genelen1000,1000.0,1000,1000,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,16.0,NaN,NaN,16.0,NaN,NaN,NaN,1232.0,NaN,NaN,1232.0,NaN,NaN,NaN,0.02704459459919231,NaN,NaN,0.02704459459919231,NaN,NaN,NaN,0.35642681249999986,NaN,NaN,0.35642681249999986,NaN,NaN,NaN,0.2191459375,NaN,NaN,0.2191459375,NaN,NaN,NaN,0.08172461538461542,NaN,NaN,0.08172461538461542,NaN,NaN,NaN
DUP0.0003-LOS0.0003-RVG-N_ind1-SF0.5-genelen1000,1000.0,1000,1000,9340.9,1.45271884e6,0.0,100.0,0.0,91.17699999999999,8.823,76.017,9.593,5.567,0.0,0,8.0,NaN,8.0,8.0,8.0,8.0,8.0,1223.2080850414206,NaN,1222.3573105513678,1232.0,1231.999999999999,1131.0529945851242,1248.0217580540814,0.024482289842300005,NaN,0.024494654061199644,0.02435451783883033,0.02469025814896668,0.022933963730428435,0.024513060097359443,0.23739199999999996,NaN,0.2378889412900183,0.23225660206279053,0.2285383532630859,0.24061294694047747,0.36087659421591517,0.1032475,NaN,0.10366923675927044,0.09888926668933469,0.09482747280213637,0.11271239445428959,0.20881983114783545,0.20536199999999996,NaN,0.20562641894337388,0.20262949110279957,0.20317297446623786,0.2241009069112895,0.20729297646847494
